Age group,Term,Freq
45 - 54,"""foam"" (17.86%)",-0.973311677
55 - 65,"""foam"" (17.86%)",-1.139765763
16 - 24,"""formula"" (18.00%)",1.028408294
25 - 34,"""formula"" (18.00%)",0.859955477
35 - 44,"""formula"" (18.00%)",0.203835601
45 - 54,"""formula"" (18.00%)",-0.770729327
55 - 65,"""formula"" (18.00%)",-1.500691534
16 - 24,"""freckles"" (2.02%)",1.140067673
25 - 34,"""freckles"" (2.02%)",0.981449562
35 - 44,"""freckles"" (2.02%)",-0.25775443
45 - 54,"""freckles"" (2.02%)",-0.783176923
55 - 65,"""freckles"" (2.02%)",-0.961622298
16 - 24,"""fresh"" (12.16%)",-0.957157647
25 - 34,"""fresh"" (12.16%)",-0.033981928
35 - 44,"""fresh"" (12.16%)",0.772144927
45 - 54,"""fresh"" (12.16%)",0.313388894
55 - 65,"""fresh"" (12.16%)",-0.760817617
16 - 24,"""friend recommended"" (1.72%)",-0.174565506
25 - 34,"""friend recommended"" (1.72%)",-0.248301841
35 - 44,"""friend recommended"" (1.72%)",-0.132430458
45 - 54,"""friend recommended"" (1.72%)",0.626000417
55 - 65,"""friend recommended"" (1.72%)",0.457460222
16 - 24,"""fun"" (2.66%)",0.521771861
25 - 34,"""fun"" (2.66%)",0.186273966
35 - 44,"""fun"" (2.66%)",-0.135388965
45 - 54,"""fun"" (2.66%)",0.130934107
55 - 65,"""fun"" (2.66%)",-0.58502532
16 - 24,"""future"" (5.71%)",0.901196258
25 - 34,"""future"" (5.71%)",0.128742323
35 - 44,"""future"" (5.71%)",0.072953983
45 - 54,"""future"" (5.71%)",-0.128742323
55 - 65,"""future"" (5.71%)",-1.038521403
16 - 24,"""game changer"" (4.61%)",0.830630791
25 - 34,"""game changer"" (4.61%)",0.519142051
35 - 44,"""game changer"" (4.61%)",-0.288096374
45 - 54,"""game changer"" (4.61%)",-1.481405351
55 - 65,"""game changer"" (4.61%)",-1.608633146
16 - 24,"""gel"" (24.82%)",1.131874928
25 - 34,"""gel"" (24.82%)",0.864135743
35 - 44,"""gel"" (24.82%)",0.115067684
45 - 54,"""gel"" (24.82%)",-0.873160659
55 - 65,"""gel"" (24.82%)",-1.310869103
16 - 24,"""gentle"" (31.76%)",0.600429241
25 - 34,"""gentle"" (31.76%)",0.740284037
35 - 44,"""gentle"" (31.76%)",0.288121912
45 - 54,"""gentle"" (31.76%)",-0.517357594
55 - 65,"""gentle"" (31.76%)",-1.38908411
16 - 24,"""gift"" (28.82%)",-1.090622926
25 - 34,"""gift"" (28.82%)",-0.81242276
35 - 44,"""gift"" (28.82%)",-0.132088004
45 - 54,"""gift"" (28.82%)",0.700229492
55 - 65,"""gift"" (28.82%)",1.462426196
16 - 24,"""glitter"" (2.83%)",0.416666667
25 - 34,"""glitter"" (2.83%)",-0.333333333
35 - 44,"""glitter"" (2.83%)",0
45 - 54,"""glitter"" (2.83%)",0
55 - 65,"""glitter"" (2.83%)",0
16 - 24,"""glow"" (33.27%)",1.098887181
25 - 34,"""glow"" (33.27%)",0.990316817
35 - 44,"""glow"" (33.27%)",-0.073672747
45 - 54,"""glow"" (33.27%)",-0.751462017
55 - 65,"""glow"" (33.27%)",-1.28966082
16 - 24,"""glycolic acid"" (2.51%)",0.775730779
25 - 34,"""glycolic acid"" (2.51%)",-0.12579418
35 - 44,"""glycolic acid"" (2.51%)",0
45 - 54,"""glycolic acid"" (2.51%)",0
55 - 65,"""glycolic acid"" (2.51%)",0
16 - 24,"""godsend"" (1.72%)",-0.092085079
25 - 34,"""godsend"" (1.72%)",0.455656819
